,student_id,student_major,student_age,student_gpa,is_undergrad,scholarship_percentage,student_batch,student_outstanding_fees,max_credits/semester,student_name
0,1,Engineering,22,2.53,yes,0,2021,28800.0,16,Toaa Abdelrahman
1,2,Engineering,20,1.84,yes,0,2021,28800.0,12,Tamer Khalid
2,3,Computer Science,25,1.52,yes,0,2023,44800.0,12,Doha Yehia
3,4,Computer Science,24,1.8,yes,0,2022,32000.0,12,Mohamed Tamer
4,5,Computer Science,19,3.77,yes,35,2023,29120.0,16,Doaa Mahmoud
5,6,Engineering,23,3.74,yes,35,2021,18720.0,16,Yehia Mohamed
6,7,Mathematics,19,-0.01,yes,0,2022,32000.0,0,Mayar Naser
7,8,Computer Science,20,2.4,yes,0,2022,32000.0,12,Mahmoud Mahmoud
8,9,Computer Science,19,2.29,yes,0,2023,44800.0,12,Toaa Yehia
9,10,Engineering,25,2.04,yes,0,2024,51200.0,12,Youssef Youssef
10,11,Engineering,24,3.89,yes,35,2020,16640.0,16,Toaa Khalid
11,12,Engineering,18,3.57,yes,25,2024,38400.0,16,Tamer Youssef
12,13,Engineering,20,4.0,yes,100,2024,0.0,16,Marwa Ahmed
13,14,Science,23,3.28,yes,10,2023,40320.0,16,Youssef Ahmed
14,15,Computer Science,23,1.33,yes,0,2022,32000.0,0,Sabah Naser
15,16,Mathematics,18,0.79,yes,0,2024,51200.0,0,Mohamed Yehia
16,17,Science,22,3.19,yes,10,2021,25920.0,16,Mariam Youssef
17,18,Mathematics,23,3.91,yes,35,2023,29120.0,16,Mohamed Naser
18,19,Mathematics,18,3.59,yes,25,2023,33600.0,16,Sabah Mohamed
19,20,Mathematics,19,1.5,yes,0,2020,25600.0,12,Naser Tamer
20,21,Mathematics,23,2.84,yes,0,2024,51200.0,16,Toaa Abdelrahman
21,22,Mathematics,24,0.39,yes,0,2021,28800.0,0,Khalid Abdelrahman
22,23,Science,25,2.01,yes,0,2022,32000.0,12,Doaa Abdelrahman
23,24,Engineering,20,3.51,yes,25,2022,24000.0,16,Ahmed Moustafa
24,25,Science,18,3.84,yes,35,2021,18720.0,16,Marwa Mohamed
25,26,Science,22,0.6,yes,0,2020,25600.0,0,Ahmed Ahmed
26,27,Science,20,0.11,yes,0,2021,28800.0,0,Marwa Ahmed
27,28,Science,24,1.43,yes,0,2021,28800.0,0,Mahmoud Abdelrahman
28,29,Mathematics,25,3.56,yes,25,2024,38400.0,16,Mayar Mahmoud
29,30,Mathematics,19,0.98,yes,0,2022,32000.0,0,Yehia Ahmed
30,31,Computer Science,22,0.65,yes,0,2024,51200.0,0,Esraa Mahmoud
31,32,Science,18,1.73,yes,0,2022,32000.0,12,Abdelrahman Yehia
32,33,Engineering,18,0.82,yes,0,2023,44800.0,0,Toaa Youssef
33,34,Mathematics,24,1.99,yes,0,2022,32000.0,12,Tamer Naser
34,35,Science,22,2.26,yes,0,2024,51200.0,12,Mayar Mahmoud
35,36,Computer Science,21,3.17,yes,10,2021,25920.0,16,Mahmoud Khalid
36,37,Science,20,1.67,yes,0,2023,44800.0,12,Toaa Ahmed
37,38,Mathematics,21,4.0,yes,100,2022,0.0,16,Ahmed Ahmed
38,39,Computer Science,19,4.0,yes,100,2021,0.0,16,Esraa Khalid
39,40,Science,24,0.26,yes,0,2022,32000.0,0,Yehia Moustafa
40,41,Computer Science,20,0.8,yes,0,2022,32000.0,0,Marwa Ahmed
41,42,Engineering,24,0.47,yes,0,2023,44800.0,0,Moustafa Naser
42,43,Science,25,3.78,yes,35,2022,20800.0,16,Toaa Moustafa
43,44,Science,25,2.74,yes,0,2021,28800.0,16,Youssef Abdelrahman
44,45,Computer Science,25,4.0,yes,100,2022,0.0,16,Mariam Moustafa
45,46,Science,23,0.11,yes,0,2021,28800.0,0,Naser Naser
46,47,Science,20,0.74,yes,0,2021,28800.0,0,Mayar Mahmoud
47,48,Engineering,25,2.36,yes,0,2021,28800.0,12,Moustafa Mahmoud
48,49,Science,21,3.29,yes,10,2020,23040.0,16,Doha Ahmed
49,50,Computer Science,24,3.43,yes,25,2023,33600.0,16,Abdelrahman Mohamed
50,51,Science,18,2.86,yes,0,2021,28800.0,16,Doaa Ahmed
51,52,Science,22,0.37,yes,0,2021,28800.0,0,Mahmoud Tamer
52,53,Science,22,0.97,yes,0,2024,51200.0,0,Marwa Yehia
53,54,Mathematics,21,1.65,yes,0,2021,28800.0,12,Mohamed Naser
54,55,Science,20,1.64,yes,0,2021,28800.0,12,Doaa Mohamed
55,56,Engineering,22,2.79,yes,0,2021,28800.0,16,Mohamed Khalid
56,57,Science,22,0.02,yes,0,2022,32000.0,0,Marwa Tamer
57,58,Science,22,2.47,yes,0,2022,32000.0,12,Youssef Ahmed
58,59,Engineering,22,1.83,yes,0,2023,44800.0,12,Toaa Mohamed
59,60,Engineering,23,3.46,yes,25,2022,24000.0,16,Tamer Youssef
60,61,Computer Science,20,3.51,yes,25,2022,24000.0,16,Doaa Mohamed
61,62,Science,25,3.85,yes,35,2023,29120.0,16,Youssef Moustafa
62,63,Engineering,18,2.87,yes,0,2023,44800.0,16,Toaa Abdelrahman
63,64,Science,18,4.0,yes,100,2024,0.0,16,Ahmed Mohamed
64,65,Mathematics,24,2.05,yes,0,2021,28800.0,12,Esraa Mahmoud
65,66,Science,24,3.3,yes,10,2024,46080.0,16,Tamer Moustafa
66,67,Engineering,24,4.0,yes,100,2023,0.0,16,Doaa Khalid
67,68,Mathematics,21,2.37,yes,0,2023,44800.0,12,Yehia Youssef
68,69,Science,22,1.32,yes,0,2023,44800.0,0,Toaa Moustafa
69,70,Computer Science,23,3.34,yes,25,2022,24000.0,16,Youssef Tamer
70,71,Engineering,20,2.07,yes,0,2020,25600.0,12,Toaa Yehia
71,72,Science,23,4.0,yes,100,2020,0.0,16,Mahmoud Khalid
72,73,Computer Science,20,3.49,yes,25,2021,21600.0,16,Yousra Mohamed
73,74,Computer Science,21,1.0,yes,0,2023,44800.0,0,Yehia Youssef
74,75,Engineering,23,2.62,yes,0,2021,28800.0,16,Doaa Mohamed
75,76,Engineering,20,3.0,yes,10,2021,25920.0,16,Mohamed Abdelrahman
76,77,Mathematics,25,1.21,yes,0,2023,44800.0,0,Doaa Yehia
77,78,Computer Science,18,2.83,yes,0,2021,28800.0,16,Mahmoud Mohamed
78,79,Mathematics,18,2.57,yes,0,2022,32000.0,16,Doaa Mahmoud
79,80,Computer Science,20,1.48,yes,0,2023,44800.0,0,Mohamed Naser
80,81,Science,19,2.09,yes,0,2020,25600.0,12,Yousra Yehia
81,82,Computer Science,23,3.78,yes,35,2020,16640.0,16,Mahmoud Naser
82,83,Mathematics,18,1.32,yes,0,2023,44800.0,0,Sabah Yehia
83,84,Engineering,20,1.52,yes,0,2023,44800.0,12,Youssef Naser
84,85,Science,19,4.0,yes,100,2021,0.0,16,Toaa Naser
85,86,Engineering,18,1.34,yes,0,2024,51200.0,0,Mahmoud Moustafa
86,87,Mathematics,24,4.0,yes,100,2021,0.0,16,Yousra Khalid
87,88,Computer Science,22,3.88,yes,35,2022,20800.0,16,Khalid Youssef
88,89,Science,21,3.15,yes,10,2024,46080.0,16,Sabah Ahmed
89,90,Science,19,3.14,yes,10,2021,25920.0,16,Moustafa Ahmed
90,91,Science,22,1.37,yes,0,2021,28800.0,0,Doha Mahmoud
91,92,Science,19,0.58,yes,0,2023,44800.0,0,Moustafa Abdelrahman
92,93,Computer Science,19,2.98,yes,0,2022,32000.0,16,Doha Mohamed
93,94,Computer Science,24,0.57,yes,0,2024,51200.0,0,Ahmed Mohamed
94,95,Computer Science,22,3.57,yes,25,2023,33600.0,16,Sabah Ahmed
95,96,Computer Science,22,0.02,yes,0,2022,32000.0,0,Moustafa Yehia
96,97,Engineering,24,1.78,yes,0,2020,25600.0,12,Marwa Tamer
97,98,Science,23,0.0,yes,0,2024,51200.0,0,Youssef Mohamed
98,99,Engineering,25,1.38,yes,0,2020,25600.0,0,Doha Yehia
99,100,Computer Science,22,2.31,yes,0,2024,51200.0,12,Tamer Khalid
100,101,Engineering,20,0.84,yes,0,2023,44800.0,0,Toaa Youssef
101,102,Computer Science,24,0.92,yes,0,2021,28800.0,0,Khalid Moustafa
102,103,Computer Science,23,0.53,yes,0,2022,32000.0,0,Yousra Youssef
