student_id,student_major,student_concentration,student_age,student_gender,student_name,student_batch,student_gpa,completed_credits,required_credits,number_of_replaces,max_credits/semester
1,Engineering,Engineering,22,Female,Toaa Abdelrahman,2021,2.53,112,32,1,16
2,Engineering,Engineering,20,Male,Tamer Khalid,2021,1.84,96,48,3,12
3,Computer Science,Software Engineering,25,Female,Doha Yehia,2023,1.52,32,112,3,12
4,Computer Science,Information Technology,24,Male,Mohamed Tamer,2022,1.8,80,64,3,12
5,Computer Science,Data Science,19,Female,Doaa Mahmoud,2023,3.77,48,96,0,16
6,Engineering,Engineering,23,Male,Yehia Mohamed,2021,3.74,112,32,0,16
7,Mathematics,Mathematics,19,Female,Mayar Naser,2022,-0.01,80,64,4,12
8,Computer Science,Data Science,20,Male,Mahmoud Mahmoud,2022,2.4,64,80,2,12
9,Computer Science,Data Science,19,Female,Toaa Yehia,2023,2.29,48,96,2,12
10,Engineering,Engineering,25,Male,Youssef Youssef,2024,2.04,16,128,2,12
11,Engineering,Engineering,24,Female,Toaa Khalid,2020,3.89,128,16,0,16
12,Engineering,Engineering,18,Male,Tamer Youssef,2024,3.57,16,128,0,16
13,Engineering,Engineering,20,Female,Marwa Ahmed,2024,4.0,16,128,0,16
14,Science,Science,23,Male,Youssef Ahmed,2023,3.28,32,112,0,16
15,Computer Science,Information Technology,23,Female,Sabah Naser,2022,1.33,80,64,4,12
16,Mathematics,Mathematics,18,Male,Mohamed Yehia,2024,0.79,16,128,4,12
17,Science,Science,22,Female,Mariam Youssef,2021,3.19,96,48,0,16
18,Mathematics,Mathematics,23,Male,Mohamed Naser,2023,3.91,32,112,0,16
19,Mathematics,Mathematics,18,Female,Sabah Mohamed,2023,3.59,48,96,0,16
20,Mathematics,Mathematics,19,Male,Naser Tamer,2020,1.5,128,16,3,12
21,Mathematics,Mathematics,23,Female,Toaa Abdelrahman,2024,2.84,16,128,1,16
22,Mathematics,Mathematics,24,Male,Khalid Abdelrahman,2021,0.39,96,48,4,12
23,Science,Science,25,Female,Doaa Abdelrahman,2022,2.01,80,64,2,12
24,Engineering,Engineering,20,Male,Ahmed Moustafa,2022,3.51,64,80,0,16
25,Science,Science,18,Female,Marwa Mohamed,2021,3.84,112,32,0,16
26,Science,Science,22,Male,Ahmed Ahmed,2020,0.6,128,16,4,12
27,Science,Science,20,Female,Marwa Ahmed,2021,0.11,96,48,4,12
28,Science,Science,24,Male,Mahmoud Abdelrahman,2021,1.43,112,32,4,12
29,Mathematics,Mathematics,25,Female,Mayar Mahmoud,2024,3.56,16,128,0,16
30,Mathematics,Mathematics,19,Male,Yehia Ahmed,2022,0.98,64,80,4,12
31,Computer Science,Information Technology,22,Female,Esraa Mahmoud,2024,0.65,16,128,4,12
32,Science,Science,18,Male,Abdelrahman Yehia,2022,1.73,64,80,3,12
33,Engineering,Engineering,18,Female,Toaa Youssef,2023,0.82,32,112,4,12
34,Mathematics,Mathematics,24,Male,Tamer Naser,2022,1.99,64,80,3,12
35,Science,Science,22,Female,Mayar Mahmoud,2024,2.26,16,128,2,12
36,Computer Science,Data Science,21,Male,Mahmoud Khalid,2021,3.17,96,48,0,16
37,Science,Science,20,Female,Toaa Ahmed,2023,1.67,32,112,3,12
38,Mathematics,Mathematics,21,Male,Ahmed Ahmed,2022,4.0,64,80,0,16
39,Computer Science,Software Engineering,19,Female,Esraa Khalid,2021,4.0,112,32,0,16
40,Science,Science,24,Male,Yehia Moustafa,2022,0.26,64,80,4,12
41,Computer Science,Data Science,20,Female,Marwa Ahmed,2022,0.8,80,64,4,12
42,Engineering,Engineering,24,Male,Moustafa Naser,2023,0.47,32,112,4,12
43,Science,Science,25,Female,Toaa Moustafa,2022,3.78,80,64,0,16
44,Science,Science,25,Male,Youssef Abdelrahman,2021,2.74,112,32,1,16
45,Computer Science,Software Engineering,25,Female,Mariam Moustafa,2022,4.0,64,80,0,16
46,Science,Science,23,Male,Naser Naser,2021,0.11,112,32,4,12
47,Science,Science,20,Female,Mayar Mahmoud,2021,0.74,112,32,4,12
48,Engineering,Engineering,25,Male,Moustafa Mahmoud,2021,2.36,96,48,2,12
49,Science,Science,21,Female,Doha Ahmed,2020,3.29,128,16,0,16
50,Computer Science,Software Engineering,24,Male,Abdelrahman Mohamed,2023,3.43,48,96,0,16
51,Science,Science,18,Female,Doaa Ahmed,2021,2.86,112,32,1,16
52,Science,Science,22,Male,Mahmoud Tamer,2021,0.37,96,48,4,12
53,Science,Science,22,Female,Marwa Yehia,2024,0.97,16,128,4,12
54,Mathematics,Mathematics,21,Male,Mohamed Naser,2021,1.65,96,48,3,12
55,Science,Science,20,Female,Doaa Mohamed,2021,1.64,112,32,3,12
56,Engineering,Engineering,22,Male,Mohamed Khalid,2021,2.79,112,32,1,16
57,Science,Science,22,Female,Marwa Tamer,2022,0.02,80,64,4,12
58,Science,Science,22,Male,Youssef Ahmed,2022,2.47,80,64,2,12
59,Engineering,Engineering,22,Female,Toaa Mohamed,2023,1.83,48,96,3,12
60,Engineering,Engineering,23,Male,Tamer Youssef,2022,3.46,80,64,0,16
61,Computer Science,Software Engineering,20,Female,Doaa Mohamed,2022,3.51,80,64,0,16
62,Science,Science,25,Male,Youssef Moustafa,2023,3.85,48,96,0,16
63,Engineering,Engineering,18,Female,Toaa Abdelrahman,2023,2.87,32,112,1,16
64,Science,Science,18,Male,Ahmed Mohamed,2024,4.0,16,128,0,16
65,Mathematics,Mathematics,24,Female,Esraa Mahmoud,2021,2.05,96,48,2,12
66,Science,Science,24,Male,Tamer Moustafa,2024,3.3,16,128,0,16
67,Engineering,Engineering,24,Female,Doaa Khalid,2023,4.0,48,96,0,16
